English,Hindi
preffered,अनुज्ञेय
prescient     ,पूर्वज्ञान रखनेवाला
impious       ,बेईमान
heron,बगला
tranquility   ,शांति
volitional    ,इच्छाशक्ति का
gland,ग्रंथि
counterbalance,प्रतिभार
refugee       ,शरणार्थी
autonomy      ,स्वायत्तता
shabby        ,शब्बी
fallible,अविश्वसनीय
reverant,श्रद्धा
putrefaction,सड़न
ardent,उत्साही
intelligible,सुगम
transcendant,पारगमन
impiety,नास्तिकता
ascetics,संन्यासियों
utilitarianism,उपयोगीता
omniscient,सर्वज्ञ
pristine,प्राचीन
preudential,प्रूडेंशियल
crisis,संकट
irreproachable,पहुंच से बाहर का
angst,गुस्से
ablution,स्नान
venerable,सम्मानित
disposition,स्वभाव
plurality,अधिकता
decadence,पतन
pacifist,शांतिवादी
attenuated,तनु
heterodox,विधर्मिक
equanimity,समभाव
syzygy,syzygy
overhauled,मरम्मत
promulgated,प्रख्यापित
ephemeris,पंचांग
cacophany,कोलाहल
exacerbate,ख़राब करना
mitigate,कम करना
myopic,कमबीन
presbyopic,जराक्षिदोषात्मक
muster,मस्टर
preposterous,निरर्थक
wispy,धुँधला
suffused,प्रत्युत्तर
scrupulous,ईमानदार
kludges,kludges
reactionary,प्रतिक्रियावादी
blare,तुरही बजाना
discretion,विवेक
succusion,संकट
supple,कोमल
yearning,तड़प
valley,घाटी
confabulated,भेंट
fastidious,दुराराध्य
didatic,शिक्षाप्रद
equilibrium,संतुलन
entombed,भेंट
efficacy,प्रभाव
geraniums,geraniums
wallowing,भूरा
languid,निस्तेज
cynical,निंदक
tepid,थोड़े थोड़े गरम
gash,पाछ
lucrative,लाभप्रद
winches,winches
squelched,स्क्वेल्ड
spurious,जाली
pimp,दलाल
cypresses,साइप्रस
mongrel,संकर जाति का
shepherded,चरवाहा
ameliorate,उन्नति
disgorded,अव्यवस्थित
factotum,सब प्रकार का काम करनेवाला नौकर
concocted,सहज
sycamores,sycamores
wisps,कणों का
esoteric,गुप्त
matiness,चपलता
pallor,पीलापन
pendulous,दुविधा में पड़ा हुआ
dandling,डंडलिंग
trestles,trestles
quaintly,विलक्षणता से
queer,विचित्र
parakets,पैराकट
rakes,रेक
wrench,पाना
acolytes,एकolytes
vigil,जलूस
jolts,झटका
agreeable,सहमत
leering,लेयरिंग
tang,खटास
grandiosity,भव्यता
ashen,भस्मवर्ण
hale,हट्टा कट्टा
hypochondria,रोगभ्रम
retching,पीछे हटाना
mellow,मधुर
frantic,उन्मत्त
solemnly,सत्यनिष्ठा
ruddy,लाल
lest,ऐसा न हो कि
astir,उत्तेजना में
vignettes,विगनेट्स
relapsed,रुक गया
tithing,में TITHINGGod
absolved,बरी
gallant,वीर
estimable,आदर लायक़
anguish,पीड़ा
cronyism,क्रॉनीवाद
pantomimed,पैतृक
chaperoned,चैपरन
farthingale,फ़ार्दिगेल
jocularly,उसे मज़ाक के तौर
dowels,डॉवेल
deference,सम्मान
ostracized,बहिष्कृत
tandem ,मिलकर
regal,शाही
flourished,निखरा
amortize,ऋण चुकाना
malevolently,दुष्टता से
quiescent,मौन
foreclosure,पुरोबंध
pagan,बुतपरस्त
unrepentantly,पश्चाताप के बिना
smocks,स्मोक
crocus,Crocus
pathetic,दयनीय
clandestine,गुप्त
detritus,कतरे
stoop,गिर
excavating,खुदाई
liminal,सीमित
cloying,संक्रामक
compromise,समझौता
system,प्रणाली
proper,उचित
organic,कार्बनिक
patronising,संरक्षण
condescending,कृपालु
exile,निर्वासन
coherence,जुटना
contextualize,प्रासंगिक बनाएं
context,संदर्भ
dominant,प्रमुख
abstract,सार
obscure,अस्पष्ट
presentations,प्रस्तुतियों
maintain,बनाए रखना
representation,प्रतिनिधित्व
forever,उम्र भर
existance,अस्तित्व
revelation,रहस्योद्घाटन
consideration,सोच - विचार
venerated,पूजा
ostentation,डींग
duplicity,कपट
tendency,प्रवृत्ति
undeviated,अव्यवस्थित
consistency,संगतता
steadiness,स्थिरता
admixture,मिश्रण
perplexed,विकल
vexation,गुब्बार
accustomed,आदी
beneficence,उपकार
populace,पोपुलास
sobriety,संयम
novelty,नवीनता
implacable,संगदिल
sophist,मिथ्या हेतुवादी
syllogisms,सिलेगिज्म
providence,मितव्ययिती
felicity,परम सुख
principles,सिद्धांतों
scam,घोटाला
imperate,अभिप्राय
contemptible,घिनौना
sordid,घिनौना
perishable,नष्ट होनेवाला
hortatory,उपदेश देनेवाला
interweaving,अन्तरविंग
involution,पेचीदगी
putrefying,पापी
devoid,रहित
dissolution,विघटन
insecure,असुरक्षित
relatable,जोड़ा जा सकने वाला
destruction,विनाश
acquire,अधिग्रहण करना
deluded,मोहित
delusional,भ्रम का शिकार हो
privilege,विशेषाधिकार
peculiar,विशेष
